0 10
246 -5,25459817635343
247 -5,33315831265707
248 -5,41185810040332
249 -5,4906975281836
250 -5,5696765830005
251 -5,6487952502635
252 -5,72805351378478
253 -5,80745135577504
254 -5,8869887568395
255 -5,96666569597374
256 -6,04648215055982
257 -6,12643809636226
258 -6,20653350752418
259 -6,2867683565635
260 -6,36714261436908
261 -6,44765625019709
262 -6,52830923166725
263 -6,60910152475922
264 -6,6900330938091
265 -6,7711039015058
266 -6,85231390888765
267 -6,93366307533898
268 -7,01515135858676
269 -7,09677871469726
270 -7,17854509807286
271 -7,26045046144883
272 -7,34249475589013
273 -7,42467793078848
274 -7,50699993385914
275 -7,58946071113807
276 -7,67206020697895
277 -7,75479836405033
278 -7,83767512333284
279 -7,92069042411641
280 -8,00384420399755
281 -8,08713639887679
282 -8,17056694295601
283 -8,25413576873596
284 -8,33784280701379
285 -8,42168798688061
286 -8,50567123571915
287 -8,58979247920145
288 -8,67405164128664
289 -8,75844864421872
290 -8,84298340852449
291 -8,92765585301143
292 -9,01246589476568
293 -9,09741344915018
294 -9,18249842980264
295 -9,26772074863384
296 -9,35308031582576
297 -9,43857703982994
298 -9,52421082736571
299 -9,60998158341873
300 -9,69588921123939
301 -9,78193361234131
302 -9,86811468649993
303 -9,95443233175123
304 -10,0408864443903
305 -10,1274769189702
306 -10,2142036483008
307 -10,3010665234477
308 -10,3880654337308
309 -10,4752002667239
310 -10,5624709082535
311 -10,6498772423978
312 -10,7374191514859
313 -10,8250965160975
314 -10,9129092150615
315 -11,000857125456
316 -11,0889401226074
317 -11,1771580800901
318 -11,2655108697259
319 -11,3539983615838
320 -11,4426204239794
321 -11,5313769234751
322 -11,6202677248795
323 -11,7092926912475
324 -11,7984516838802
325 -11,8877445623249
326 -11,9771711843754
327 -12,0667314060716
328 -12,1564250817003
329 -12,2462520637949
330 -12,3362122031364
331 -12,4263053487532
332 -12,5165313479217
333 -12,6068900461673
334 -12,6973812872642
335 -12,7880049132367
336 -12,8787607643595
337 -12,9696486791589
338 -13,0606684944132
339 -13,1518200451541
340 -13,2431031646671
341 -13,3345176844932
342 -13,4260634344296
343 -13,5177402425309
344 -13,6095479351103
345 -13,7014863367415
346 -13,7935552702591
347 -13,8857545567608
348 -13,9780840156089
349 -14,0705434644313
350 -14,1631327191237
351 -14,2558515938512
352 -14,3486999010498
353 -14,4416774514287
354 -14,5347840539718
355 -14,62801951594
356 -14,7213836428731
357 -14,8148762385919
358 -14,9084971052004
359 -15,0022460430881
360 -15,0961228509324
361 -15,1901273257008
362 -15,2842592626534
363 -15,3785184553457
364 -15,4729046956308
365 -15,5674177736622
366 -15,6620574778968
367 -15,7568235950972
368 -15,8517159103349
369 -15,9467342069934
370 -16,0418782667708
371 -16,1371478696829
372 -16,2325427940669
373 -16,3280628165837
374 -16,4237077122222
375 -16,5194772543018
376 -16,6153712144761
377 -16,7113893627367
378 -16,8075314674163
379 -16,9037972951926
380 -17,0001866110917
381 -17,0966991784925
382 -17,1933347591295
383 -17,2900931130978
384 -17,3869739988562
385 -17,4839771732319
386 -17,581102391424
387 -17,6783494070081
388 -17,7757179719405
389 -17,8732078365623
390 -17,9708187496039
391 -18,0685504581895
392 -18,1664027078415
393 -18,2643752424854
394 -18,3624678044539
395 -18,4606801344921
396 -18,5590119717621
397 -18,6574630538478
398 -18,7560331167603
399 -18,854721894942
400 -18,9535291212725
401 -19,0524545270735
402 -19,1514978421137
403 -19,2506587946145
404 -19,3499371112552
405 -19,4493325171781
406 -19,5488447359945
407 -19,64847348979
408 -19,7482184991299
409 -19,8480794830653
410 -19,9480561591387
411 -20,0481482433895
412 -20,1483554503606
413 -20,2486774931034
414 -20,3491140831849
415 -20,4496649306928
416 -20,5503297442423
417 -20,6511082309822
418 -20,752000096601
419 -20,8530050453335
420 -20,954122779967
421 -21,0553530018482
422 -21,1566954108891
423 -21,2581497055744
424 -21,3597155829676
425 -21,461392738718
426 -21,5631808670678
427 -21,6650796608583
428 -21,7670888115377
429 -21,8692080091674
430 -21,9714369424298
431 -22,0737752986346
432 -22,176222763727
433 -22,2787790222942
434 -22,3814437575733
435 -22,4842166514584
436 -22,5870973845082
437 -22,6900856359537
438 -22,7931810837054
439 -22,8963834043616
440 -22,9996922732157
441 -23,1031073642641
442 -23,2066283502141
443 -23,3102549024921
444 -23,4139866912512
445 -23,5178233853794
446 -23,621764652508
447 -23,7258101590194
448 -23,8299595700558
449 -23,9342125495271
450 -24,0385687601194
451 -24,1430278633038
452 -24,2475895193446
453 -24,3522533873076
454 -24,4570191250694
455 -24,5618863893258
456 -24,6668548356001
457 -24,7719241182529
458 -24,8770938904901
459 -24,9823638043721
460 -25,0877335108232
461 -25,1932026596401
462 -25,2987708995014
463 -25,4044378779765
464 -25,5102032415353
465 -25,6160666355569
466 -25,7220277043394
467 -25,8280860911093
